
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2280,Dennis Rodman*,1991-92,30,DET,NBA,82,80,3301,3.7,6.9,3.4,5.8,0.3,1.1,0.9,1.5,5.7,11.0,16.7,2.1,0.7,0.8,1.5,2.7,8.7,.539,.581,.317,.564,.600,.574
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2281,Dennis Rodman*,1992-93,31,DET,NBA,62,55,2410,2.7,6.4,2.5,5.3,0.2,1.1,1.3,2.4,5.5,11.4,16.9,1.5,0.7,0.7,1.5,3.0,7.0,.427,.472,.205,.444,.534,.467
2282,Dennis Rodman*,1993-94,32,SAS,NBA,79,51,2989,1.9,3.5,1.8,3.2,0.1,0.3,0.6,1.2,5.5,11.0,16.5,2.2,0.6,0.4,1.7,2.8,4.5,.534,.563,.208,.543,.520,.549
2283,Dennis Rodman*,1995-96,34,CHI,NBA,64,57,2088,2.5,5.2,2.5,4.8,0.1,0.5,1.0,1.8,6.1,10.3,16.4,2.8,0.6,0.5,2.4,3.4,6.1,.480,.516,.111,.485,.528,.501
2284,Dennis Rodman*,1997-98,36,CHI,NBA,80,66,2856,2.0,4.5,1.9,4.2,0.1,0.3,0.8,1.4,5.3,9.8,15.1,2.9,0.6,0.2,1.9,3.0,4.7,.431,.448,.174,.436,.550,.459
2285,Guy Rodgers*,1959-60,24,PHW,NBA,68,,2483,4.9,12.6,4.9,12.6,,,1.6,2.6,,,5.7,7.0,,,,2.8,11.4,.389,.389,,.389,.613,.414
2286,Guy Rodgers*,1960-61,25,PHW,NBA,78,,2905,4.9,12.8,4.9,12.8,,,2.6,3.7,,,6.3,8.4,,,,3.2,12.4,.386,.386,,.386,.687,.431
2287,Guy Rodgers*,1961-62,26,PHW,NBA,80,,2650,3.6,10.2,3.6,10.2,,,1.6,2.5,,,4.7,8.7,,,,4.2,8.9,.356,.356,,.356,.665,.395
2288,Guy Rodgers*,1962-63,27,SFW,NBA,79,,3249,4.9,12.7,4.9,12.7,,,2.3,3.2,,,4.4,9.1,,,,3.3,12.2,.387,.387,,.387,.727,.430
2289,Guy Rodgers*,1963-64,28,SFW,NBA,79,,2695,4.5,12.3,4.5,12.3,,,2.6,3.7,,,4.4,7.4,,,,3.3,11.6,.365,.365,,.365,.707,.417
2290,Guy Rodgers*,1964-65,29,SFW,NBA,79,,2699,6.2,16.3,6.2,16.3,,,3.0,4.3,,,4.3,7.5,,,,3.4,15.4,.380,.380,,.380,.686,.421
2291,Guy Rodgers*,1965-66,30,SFW,NBA,79,,2902,7.3,19.5,7.3,19.5,,,3.7,5.0,,,5.2,10.5,,,,3.0,18.2,.373,.373,,.373,.727,.419
